D517N,小港,大林站,2017/10/31,04:00:00,19,412,30.1,49.7,31.9,44,92,5.4,0.33,13,108,3,265,0,14,1.1,細懸浮微粒,普通,2017/10/30 13:00
D5176,仁武,仁武站,2017/10/31,04:00:00,33,420,30.9,42.2,35.6,32.4,89,4.9,0.36,14,70,2.7,283,0,15,1.5,細懸浮微粒,普通,2017/10/30 13:00
D434V,斗六,斗六南環路站,2017/10/31,04:00:00,30,463,22.9,65.6,30.2,51.8,86,1.4,0.25,7.7,76,4.7,8.4,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D4362,斗六,林內站,2017/10/31,04:00:00,26,432,23.5,64.2,31.3,40.5,86,1.4,0.25,7.7,76,4.7,8.4,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D416H,斗六,二水站,2017/10/31,04:00:00,23,434,28,50.5,32.3,38.1,86,1.4,0.25,7.7,76,4.7,8.4,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D431B,斗六,雲林直銷,2017/10/31,04:00:00,23,447,27.1,52.5,29.5,44.7,86,1.4,0.25,7.7,76,4.7,8.4,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D434A,斗六,梅山站,2017/10/31,04:00:00,23,474,31.8,40.6,30.6,43.6,86,1.4,0.25,7.7,76,4.7,8.4,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D4373,斗六,古坑站,2017/10/31,04:00:00,19,493,29.1,49.3,33.8,36.5,86,1.4,0.25,7.7,76,4.7,8.4,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D43W2,斗六,雅虎站,2017/10/31,04:00:00,4,449,26.1,53.8,33.6,46.7,86,1.4,0.25,7.7,76,4.7,8.4,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D4351,斗六,斗南站,2017/10/31,04:00:00,0,490,26.4,49.7,33.4,39.7,86,1.4,0.25,7.7,76,4.7,8.4,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D5147,左營,左營站,2017/10/31,04:00:00,31,404,25.7,60.1,32.8,37.8,99,4,0,0,107,3.6,307,0,0,0,細懸浮微粒,普通,2017/10/30 13:00
D4377,朴子,東石站,2017/10/31,04:00:00,15,407,26.1,51,30.9,59.4,98,4.4,0.24,9.4,284,5.3,352,0,13,3.3,懸浮微粒,普通,2017/10/30 13:00
D434H,朴子,布袋站,2017/10/31,04:00:00,15,423,26.1,51.2,35.7,41.5,98,4.4,0.24,9.4,284,5.3,352,0,13,3.3,懸浮微粒,普通,2017/10/30 13:00
D4352,朴子,朴子站,2017/10/31,04:00:00,0,411,30.1,41.5,0,0,98,4.4,0.24,9.4,284,5.3,352,0,13,3.3,懸浮微粒,普通,2017/10/30 13:00
D4153,竹山,竹山站,2017/10/31,04:00:00,24,450,29.1,47.6,29.4,45.9,99,2.3,0.28,5.7,80,2.4,332,0,8.6,2.9,細懸浮微粒,普通,2017/10/30 13:00
