台中市,租車,小馬租車-烏日高鐵,1.各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  2.經濟型轎車(1.5-1.6):持高鐵票根，當日租還999元(限週一至週五19:30前還車)。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/2/4 0:00,04-23363788,台中市烏日區高鐵三路81號
彰化縣,租車,小馬租車-彰化小馬,各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/2/5 0:00,04-7614788,彰化市中央路61、63、65號
台南市,租車,小馬租車-台南小馬,各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/2/6 0:00,06-2365788,台南市東區小東路382號
台南市,租車,小馬租車-台南高鐵,1.各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  2.經濟型轎車(1.5-1.6):持高鐵票根，當日租還999元(限週一至週五19:30前還車)。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/2/7 0:00,06-3032988,台南市歸仁區歸仁大道98號
高雄市,租車,小馬租車-左營高鐵,1.各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  2.經濟型轎車(1.5-1.6):持高鐵票根，當日租還999元(限週一至週五19:30前還車)。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/2/8 0:00,07-3434188,高雄市左營區重信路623-2號
台南市,飯店旅館民宿,為楓渡假別館,住宿2780元以上房型現折600元；休息1200元以上房型現折200元(限平日，不得共用其他優惠)【持會員卡或員工證】,2018/2/9 0:00,06-2628800,台南市南區灣裡路62巷2號
高雄市,飯店旅館民宿,打狗戀館,住宿2800元以上房型現折600元；休息1200元以上房型現折100元(限平日，不得共用其他優惠)【持會員卡或員工證】,2018/2/10 0:00,07-8129988,高雄市小港區港平路167號
台中市,按摩,泰晶殿-台中四季皇家會館,現金消費120分鐘以上(含)可折抵200元(不得共用其他優惠)【持會員卡或員工證】,2018/2/11 0:00,04-22549565,台中市南屯區大業路375號
桃園市,糕點,皇樓-桃園中山店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/2/12 0:00,03-3318766,桃園市桃園區中山路124號
桃園市,糕點,皇樓-中壢延平店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/2/13 0:00,03-4275199,桃園市中壢區延平路524號
高雄市,租車,小馬租車-高雄小港,各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/2/14 0:00,07-8035788,高雄市小港區沿海一路32號
台東縣,租車,小馬租車-台東機場,1.各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  2.經濟型轎車(1.5-1.6):持台鐵票根，當日租還999元(限週一至週五19:30前還車)。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/2/15 0:00,089-340688,台東市民航路981-5號
高雄市,糕點,皇樓-高雄中正店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/2/16 0:00,07-2850118,高雄市中正四路28號
新北市,糕點,皇樓-新北永和店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/2/17 0:00,02-22316738,新北市永和區永和路一段222號
新北市,糕點,皇樓-新北三重店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/2/18 0:00,02-29882899,新北市三重區正義北路260號
台中市,按摩,泰晶殿-台中文心會館,現金消費120分鐘以上(含)可折抵200元(不得共用其他優惠)【持會員卡或員工證】,2018/2/19 0:00,04-24723555,台中市南屯區文心路一段46-3號
台中市,按摩,泰晶殿-台中公益會館,現金消費120分鐘以上(含)可折抵200元(不得共用其他優惠)【持會員卡或員工證】,2018/2/20 0:00,04-225585999,台中市南屯區公益路二段241號
台北市,按摩,泰晶殿-台北安和會館,現金消費120分鐘以上(含)可折抵200元(不得共用其他優惠)【持會員卡或員工證】,2018/2/21 0:00,02-27087779,台北市安和路二段102號(近遠企中心)
台北市,按摩,泰晶殿-台北八德會館,現金消費120分鐘以上(含)可折抵200元(不得共用其他優惠)【持會員卡或員工證】,2018/2/22 0:00,02-27751777,台北市八德路二段192號(近建國北路口)
台北市,按摩,泰晶殿-台北光復會館,現金消費120分鐘以上(含)可折抵200元(不得共用其他優惠)【持會員卡或員工證】,2018/2/23 0:00,02-25287111,台北市光復北路5號
